strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal,auc_zexp,max_signal_zexp,min_signal_zexp,time_to_peak_zexp,initial_slope_zexp,final_signal_zexp,auc_zstrain_exp,max_signal_zstrain_exp,min_signal_zstrain_exp,time_to_peak_zstrain_exp,initial_slope_zstrain_exp,final_signal_zstrain_exp
BL011,Metaldehyde,5.0,3.0,1.0,9017.5,70.0,0.0,180.0,0.2,1.0,-0.49182118060764024,-0.7461194356980024,-0.4682243960034831,-0.3623154973338669,-0.6237138967136006,-0.28777759953358273,-0.5165846548957919,-0.5040175970081818,-0.49995365835158967,-0.25435283549016213,-0.44073616704708873,-0.41960010175889534
BL011,Metaldehyde,5.0,3.0,2.0,10982.5,95.0,0.0,180.0,-0.2,2.0,-0.49177175256222194,-0.7456426807542796,-0.4682243960034831,-0.3623154973338669,-0.6246452812292963,-0.2877486579511642,-0.5162515397525826,-0.5024628796637925,-0.49995365835158967,-0.25435283549016213,-0.44293074950920003,-0.4184582033075728
BL011,Metaldehyde,5.0,3.0,3.0,14635.0,95.0,1.0,170.0,-0.2,4.0,-0.4916798767678758,-0.7456426807542796,-0.4680061603262346,-0.3857270990484668,-0.6246452812292963,-0.2876907747863273,-0.5156323524444034,-0.5024628796637925,-0.4978834568677321,-0.28624660796541757,-0.44293074950920003,-0.4161744064049277
BL011,Metaldehyde,5.0,3.0,4.0,21350.0,119.0,2.0,180.0,0.0,6.0,-0.4915109661699196,-0.7451849960083057,-0.4677879246489861,-0.3623154973338669,-0.6241795889714484,-0.28763289162149036,-0.5144939971331309,-0.5009703510131788,-0.4958132553838746,-0.25435283549016213,-0.4418334582781444,-0.4138906095022826
BL011,Metaldehyde,0.5,3.0,1.0,9092.5,69.0,0.0,175.0,-0.2,2.0,-0.4918192940410212,-0.7461385058957514,-0.4682243960034831,-0.37402129819116686,-0.6246452812292963,-0.2877486579511642,-0.5165719405773488,-0.5040797857019573,-0.49995365835158967,-0.2702997217277898,-0.44293074950920003,-0.4184582033075728
BL011,Metaldehyde,0.5,3.0,2.0,11697.5,92.0,0.0,190.0,0.0,3.0,-0.49175376729378734,-0.7456998913475263,-0.4682243960034831,-0.338903895619267,-0.6241795889714484,-0.28771971636874577,-0.5161303299167583,-0.5026494457451192,-0.49995365835158967,-0.22245906301490667,-0.4418334582781444,-0.41731630485625026
BL011,Metaldehyde,0.5,3.0,3.0,14290.0,95.0,1.0,180.0,0.2,5.0,-0.49168855497432323,-0.7456426807542796,-0.4680061603262346,-0.3623154973338669,-0.6237138967136006,-0.2876618332039088,-0.5156908383092418,-0.5024628796637925,-0.4978834568677321,-0.25435283549016213,-0.44073616704708873,-0.4150325079536052
BL011,Metaldehyde,0.5,3.0,4.0,22180.0,107.0,2.0,175.0,-0.4,2.0,-0.4914900881660025,-0.7454138383812926,-0.4677879246489861,-0.37402129819116686,-0.6251109734871442,-0.2877486579511642,-0.5143532920090272,-0.5017166153384857,-0.4958132553838746,-0.2702997217277898,-0.4440280407402557,-0.4184582033075728
BL011,Metaldehyde,0.05,3.0,1.0,9250.0,68.0,0.0,180.0,0.2,2.0,-0.4918153322511213,-0.7461575760935003,-0.4682243960034831,-0.3623154973338669,-0.6237138967136006,-0.2877486579511642,-0.5165452405086183,-0.5041419743957329,-0.49995365835158967,-0.25435283549016213,-0.44073616704708873,-0.4184582033075728
BL011,Metaldehyde,0.05,3.0,2.0,10887.5,84.0,0.0,195.0,-0.2,2.0,-0.4917741422132727,-0.7458524529295176,-0.4682243960034831,-0.32719809476196704,-0.6246452812292963,-0.2877486579511642,-0.5162676445559439,-0.5031469552953238,-0.49995365835158967,-0.20651217677727896,-0.44293074950920003,-0.4184582033075728
BL011,Metaldehyde,0.05,3.0,3.0,14220.0,96.0,1.0,165.0,-0.2,2.0,-0.49169031576983435,-0.7456236105565307,-0.4680061603262346,-0.3974328999057668,-0.6246452812292963,-0.2877486579511642,-0.5157027050064553,-0.5024006909700169,-0.4978834568677321,-0.30219349420304525,-0.44293074950920003,-0.4184582033075728
BL011,Metaldehyde,0.05,3.0,4.0,22797.5,115.0,2.0,180.0,-0.4,5.0,-0.49147455543417257,-0.7452612767993013,-0.4677879246489861,-0.3623154973338669,-0.6251109734871442,-0.2876618332039088,-0.5142486107871791,-0.5012191057882811,-0.4958132553838746,-0.25435283549016213,-0.4440280407402557,-0.4150325079536052
BL011,Metaldehyde,500.0,4.0,1.0,1822.5,4.0,0.0,765.0,0.0,1.0,-0.46485529671572706,-0.701730533399377,-0.4047197096081098,0.8907746990947484,-0.5316594264017229,-0.29290190392832377,-0.5480177978346248,-0.5314823651829217,-0.5099459401512625,1.0710473310256006,-0.3924296792807864,-0.36408273634556687
BL011,Metaldehyde,500.0,4.0,2.0,1837.5,5.0,0.0,1165.0,0.2,0.0,-0.4648549257992298,-0.7017109561798957,-0.4047197096081098,1.7356403748969396,-0.5312299503752493,-0.29293053646989803,-0.5480145219029742,-0.5314028972249447,-0.5099459401512625,2.0123687974584272,-0.39047071420263446,-0.3646177849440957
BL011,Metaldehyde,500.0,4.0,3.0,1915.0,10.0,0.0,95.0,0.0,2.0,-0.4648530093973273,-0.7016130700824886,-0.4047197096081098,-0.524375307873922,-0.5316594264017229,-0.29287327138674957,-0.5479975962561131,-0.5310055574350598,-0.5099459401512625,-0.5056661252493841,-0.3924296792807864,-0.36354768774703805
BL011,Metaldehyde,500.0,4.0,4.0,4715.0,34.0,0.0,90.0,0.2,2.0,-0.4647837716511724,-0.7011432168149352,-0.4047197096081098,-0.5349361288214494,-0.5312299503752493,-0.29287327138674957,-0.5473860890146807,-0.5290983264436128,-0.5099459401512625,-0.5174326435797945,-0.39047071420263446,-0.36354768774703805
BL011,Metaldehyde,50.0,4.0,1.0,1715.0,5.0,0.0,450.0,0.0,1.0,-0.4648579549506241,-0.7017109561798957,-0.4047197096081098,0.22544297940052274,-0.5316594264017229,-0.29290190392832377,-0.5480412753447869,-0.5314028972249447,-0.5099459401512625,0.3297566762097496,-0.3924296792807864,-0.36408273634556687
BL011,Metaldehyde,50.0,4.0,2.0,1872.5,5.0,0.0,35.0,0.0,2.0,-0.46485406032740284,-0.7017109561798957,-0.4047197096081098,-0.6511051592442507,-0.5316594264017229,-0.29287327138674957,-0.5480068780624563,-0.5314028972249447,-0.5099459401512625,-0.6468643452143081,-0.3924296792807864,-0.36354768774703805
BL011,Metaldehyde,50.0,4.0,3.0,2025.0,7.0,0.0,660.0,-0.6,0.0,-0.4648502893430141,-0.7016718017409328,-0.4047197096081098,0.6689974591966732,-0.5329478544811437,-0.29293053646989803,-0.5479735727573426,-0.5312439613089908,-0.5099459401512625,0.8239504460869836,-0.39830657451524226,-0.3646177849440957
BL011,Metaldehyde,50.0,4.0,4.0,5660.0,25.0,0.0,1335.0,-0.4,1.0,-0.4647604039118451,-0.7013194117902677,-0.4047197096081098,2.0947082871128706,-0.5325183784546701,-0.29290190392832377,-0.5471797053206972,-0.5298135380654054,-0.5099459401512625,2.412430420692379,-0.3963476094370903,-0.36408273634556687
BL011,Metaldehyde,5.0,4.0,1.0,1917.5,4.0,0.0,875.0,0.0,3.0,-0.46485294757791107,-0.701730533399377,-0.4047197096081098,1.1231127599403508,-0.5316594264017229,-0.2928446388451753,-0.5479970502675047,-0.5314823651829217,-0.5099459401512625,1.329910734294628,-0.3924296792807864,-0.36301263914850923
