strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL011,Boric Acid,0.05,2.0,3.0,2.5013621794871796,-0.8764423076923077,427.0,-245.8,-21.581818181818182,7477950.0,1193780.0,2135205.0
BL011,Boric Acid,0.05,2.0,4.0,2.623779527559055,-0.7267716535433071,471.6,-374.4,-22.787786259541985,8377165.0,1891237.5,3573477.5
BL011,Boric Acid,500.0,3.0,1.0,7.803903516847726,-0.7424047136807218,616.4,-470.0,-31.526153846153846,9828827.5,1873515.0,1876417.5
BL011,Boric Acid,500.0,3.0,2.0,7.661341853035144,-0.7578984735534257,641.8,-520.0,-32.15384615384615,9942092.5,1773995.0,1809987.5
BL011,Boric Acid,500.0,3.0,3.0,7.297320656871219,-0.7687121866897147,658.8,-523.6,-31.443846153846152,9851642.5,1743632.5,1748352.5
BL011,Boric Acid,500.0,3.0,4.0,7.099323543969642,-0.7704999175053622,614.2,-556.8,-32.02923076923077,9981967.5,1823725.0,1843517.5
BL011,Boric Acid,50.0,3.0,1.0,7.7588122605363985,-0.7503831417624521,652.2,-426.8,-30.15230769230769,9257625.0,1617082.5,1700735.0
BL011,Boric Acid,50.0,3.0,2.0,8.120640569395018,-0.7957295373665481,640.0,-456.2,-34.223076923076924,10711405.0,2926892.5,3525762.5
BL011,Boric Acid,50.0,3.0,3.0,8.291290205999276,-0.7865919768702566,708.6,-371.0,-34.386923076923075,10704955.0,2969272.5,3416485.0
BL011,Boric Acid,50.0,3.0,4.0,7.101751459549624,-0.7704753961634696,676.8,-544.6,-31.69153846153846,10125350.0,1906575.0,1862632.5
BL011,Boric Acid,5.0,3.0,1.0,8.115743384732534,-0.7909765848086807,690.4,-413.8,-31.94923076923077,10092177.5,2798297.5,3277237.5
BL011,Boric Acid,5.0,3.0,2.0,8.159082500924898,-0.8079911209766926,672.0,-383.8,-33.13076923076923,10430527.5,2962907.5,3440320.0
BL011,Boric Acid,5.0,3.0,3.0,7.8587113030957525,-0.7849172066234701,654.8,-370.6,-32.667692307692306,10635212.5,3091457.5,3645237.5
BL011,Boric Acid,5.0,3.0,4.0,7.156606581776087,-0.7745989746981975,611.4,-512.8,-32.24076923076923,10061127.5,1865765.0,1849227.5
BL011,Boric Acid,0.5,3.0,1.0,7.880921658986175,-0.8171428571428572,664.2,-420.2,-32.12461538461538,9952232.5,2690017.5,3183157.5
BL011,Boric Acid,0.5,3.0,2.0,7.9344291907514455,-0.7707731213872833,692.4,-468.8,-32.81230769230769,10417020.0,2875632.5,3433530.0
BL011,Boric Acid,0.5,3.0,3.0,7.86448275862069,-0.8353448275862069,604.8,-431.8,-34.35307692307693,10817820.0,2921180.0,3429627.5
BL011,Boric Acid,0.5,3.0,4.0,7.05825885468388,-0.7709367759020191,633.8,-443.8,-31.74,10142942.5,1903040.0,1870642.5
BL011,Boric Acid,0.05,3.0,1.0,7.724747010119596,-0.8333026678932842,644.4,-381.2,-31.59846153846154,10042877.5,2716942.5,3131547.5
BL011,Boric Acid,0.05,3.0,2.0,7.629696859684153,-0.7656561989471773,663.0,-365.0,-31.33923076923077,10098927.5,2841422.5,3434910.0
BL011,Boric Acid,0.05,3.0,3.0,7.578092959671907,-0.7978468899521531,619.2,-375.8,-33.20307692307692,10660350.0,2898552.5,3436335.0
BL011,Boric Acid,0.05,3.0,4.0,6.882323568575233,-0.7879494007989347,634.4,-447.4,-30.826923076923077,9823350.0,1797442.5,1796422.5
BL011,Boric Acid,500.0,4.0,1.0,1.8230962164469822,-0.9149367629009019,292.0,-447.2,-24.767300380228136,7397820.0,1074102.5,1882130.0
BL011,Boric Acid,500.0,4.0,2.0,1.7669912366114897,-0.9202044790652386,393.4,-473.6,-26.35361216730038,8628915.0,2230487.5,4124315.0
BL011,Boric Acid,500.0,4.0,3.0,1.9947950881803023,-0.914396887159533,413.0,-437.6,-28.730798479087454,8976517.5,2367465.0,3715455.0
BL011,Boric Acid,500.0,4.0,4.0,1.5650335508778381,-0.9250390660906334,407.4,-350.8,-24.46867924528302,7803905.0,1090807.5,1904825.0
BL011,Boric Acid,50.0,4.0,1.0,1.8302610548748002,-0.9187533297815663,319.2,-444.0,-24.965019011406845,7407535.0,1051312.5,1792305.0
BL011,Boric Acid,50.0,4.0,2.0,1.707681144397222,-0.9161915621436716,289.8,-325.4,-23.73560606060606,7295877.5,1018987.5,1747217.5
BL011,Boric Acid,50.0,4.0,3.0,1.7348865539820313,-0.9183290188315314,302.6,-372.8,-24.674242424242426,7604002.5,1052600.0,1847777.5
BL011,Boric Acid,50.0,4.0,4.0,1.5630593228157579,-0.9249008211089584,391.6,-421.6,-24.344150943396226,7812492.5,1060337.5,1840490.0
BL011,Boric Acid,5.0,4.0,1.0,1.8894935119296776,-0.9231372959397237,372.8,-433.2,-26.34448669201521,8194752.5,2047500.0,3787265.0
BL011,Boric Acid,5.0,4.0,2.0,1.5448730098559516,-0.9216736163760425,288.4,-278.8,-23.5361216730038,7590755.0,1064580.0,1824887.5
BL011,Boric Acid,5.0,4.0,3.0,1.657760372775492,-0.9181579338720072,297.2,-245.2,-24.175665399239545,7622312.5,1052567.5,1836315.0
BL011,Boric Acid,5.0,4.0,4.0,1.445484386089425,-0.9281848828956707,441.2,-297.2,-23.372075471698114,7804232.5,1052322.5,1860167.5
